Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
RESTAURANT L'ORÉE DU BOIS;;Restaurant gastronomique - cuisine raffinée;;94 Route de la Garenne;;44700;;;ORVAULT;44114;47.2651515;-1.6272094;;;02 40 63 63 54;;;https://www.restaurant-loreedubois.fr/;;;;;Bottin Gourmand,Les Tables de Nantes;;;;;Maitres Restaurateurs;;;;;;;;;;;;;;;oui;||http://www.nantes-tourisme.com/book/115135||||||;;;47.2651515, -1.6272094;Loire-Atlantique
RESTAURANT LA FENDERIE À DEUX-EVAILLES;Restaurant;Restaurant gastronomique - cuisine raffinée;;La Fenderie;Deux-Evailles;53150;;;MONTSURS;53161;48.201924;-0.5187421;"Autoroute||A81 - Le Mans-Rennes sortie 2||20 ; Gare SNCF||Evron||12";;02 43 90 00 95;;;;;Facebook||https://www.facebook.com/lafenderie53?ref=hl;;;Gault Millau,Le petit futé;;;non;;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;120;3;60;1;;;Anglais,Français,Italien;oui;10;120;oui;02/01/2026||31/12/2026||||Fermé le lundi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Quentin Levêque||02 43 90 00 95||lafenderie53@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant,Virement;48.201924, -0.5187421;Mayenne
Restaurant La Margherita;Restaurant;Pizzeria;;66 Rue Carnot;;72200;;;LA FLECHE;72154;47.6994402;-0.0782113;;;02 43 96 34 16;;;;;Facebook||https://www.facebook.com/LaMargheritaAmitrano/;;;;;;;;;Plats à emporter,Service en terrasse;28;1;10;;;;Français,Italien;oui;;;oui;01/01/2026||31/12/2026||||||||||||||||||||||12:00||13:45||||||12:00||13:45||||||12:00||13:45||19:00||21:30||||||19:00||21:30||||||||;;;;;Cartes bancaires,Espèces;47.6994402, -0.0782113;Sarthe
Restaurant la Pomme de Pin;Restaurant;Cuisine traditionnelle;;1 place de l'église;Cuon;49150;;;BAUGE-EN-ANJOU;49018;47.4788462;-0.101633;"Route (nationale/départ.)||D938||0 ; Autoroute||A85 et A11||10 ; Aéroport/aérodrome||Angers-Marcé||20 ; Gare SNCF||Saumur||25";;02 41 82 75 74;;lapommedepin@live.fr;https://traiteur-lapommedepin-anjou-49.fr/fr/page/accueil;;Facebook||https://www.facebook.com/LaPommedepinRestaurant/;;;;;;oui;;;Banquet,Traiteur;105;3;0;0;0;;Anglais;oui;;105;oui;01/01/2025||31/12/2026||||||||||||||08:00||15:00||17:00||20:00||08:00||15:00||17:00||20:00||08:00||15:00||17:00||20:00||08:00||15:00||17:00||20:00||09:00||15:00||||||09:00||15:00||||;;;;Menu adulte du jour (midi en semaine)||14,00||||;Cartes bancaires,Chèques bancaires et postaux;47.4788462, -0.101633;Maine-et-Loire
Restaurant La Rombière;Restaurant;Cuisine traditionnelle;;69 Rue de la Lime;BEAUPREAU;49600;;;BEAUPREAU-EN-MAUGES;49023;47.2085996;-0.9968642;;;02 41 85 54 26;Partenaire Ôsez Mauges 2023;restaurant@larombiere.com;;;"Facebook||https://www.facebook.com/larombiere ; Google+|| https://g.co/kgs/rDoYhnp";;;;;;oui;;;Chaise haute / Réhausseur,Climatisation,Service en terrasse;;2;50;;;;;oui;;;oui;;||02 41 85 54 26||restaurantlarombiere@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2085996, -0.9968642;Maine-et-Loire
Restaurant La Tablée des Voyageurs;Restaurant;Cuisine traditionnelle;;6 VC Chardavoine;Beaufort en Vallée;49250;;;Beaufort en Anjou;49021;47.4394933;-0.2121988;;;02 41 57 24 00;;latableedesvoyageurs@gmail.com;;;Facebook||https://www.facebook.com/p/Les-Voyageurs-Restaurant-61559295441605/?locale=fr_FR;;;;;;;;;Banquet;80;2;;;;;Français;oui;;80;oui;28/11/2024||31/12/2026||ouvert du lundi au vendredi midi||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||12:00||13:30||||||||||||||||||||;||02 41 57 24 00||;;;Menu adulte du jour (midi en semaine)||14,80||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.4394933, -0.2121988;Maine-et-Loire
Restaurant La Taverne Saumur;Restaurant;Brasserie;;Boulevard du Maréchal Juin;;49400;;;SAUMUR;49328;47.266889;-0.090355;Transport en commun||||;;02 41 50 35 24;;saumur@lesrelaisdalsace.com;http://www.lestavernes.com/saumur;;"Facebook||https://fr-fr.facebook.com/LaTaverneSaumur/ ; Google+||https://maps.google.com/?cid=6464713452553969249";;;;;;non;;Maitres Restaurateurs;Chaise haute / Réhausseur,Climatisation,Service en terrasse,WiFi;325;3;100;;;;Anglais,Français;oui;;150;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.266889, -0.090355;Maine-et-Loire
RESTAURANT LE 2M;Restaurant;Brasserie;;2, avenue du Maréchal Joffre;;53200;;;CHATEAU-GONTIER-SUR-MAYENNE;53062;47.8238292;-0.7081597;;06 33 22 67 22;02 43 09 60 00;;contact@le2mrestaurant.com;http://www.le2mrestaurant.com/;https://youtu.be/kAkGfvFF-bI;"Facebook||https://www.facebook.com/Le2Mrestaurant ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g660202-d6732426-Reviews-Le_2M-Chateau_Gontier_Mayenne_Pays_de_la_Loire.html ; Instagram||https://www.instagram.com/restaurant_le_2m/";;"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/kAkGfvFF-bI"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Le petit futé;;;non;Sauf chien d'assistance;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;130;4;100;1;0;;Anglais,Espagnol,Français;oui;2;60;oui;||||Ouvert tous les jours midi et soir||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Restaurant le 2M||02 43 09 60 00||contact@le2mrestaurant.com;;;Menu adulte du jour (midi en semaine)||15,90||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Chèques Vacances Connect,Espèces,Tickets Restaurant,Virement;47.8238292, -0.7081597;Mayenne
Restaurant Le Bazar où l'on papote;Restaurant;Cuisine traditionnelle;;18 rue Abbé Louis Chevallier;;72300;;;PRECIGNE;72244;47.7656626;-0.3247408;;;02 43 55 24 42;;contact@lebazaroulonpapote.fr;;;"Instagram||https://www.instagram.com/lebazaroulonpapote/ ; Facebook||https://www.facebook.com/people/Le-Bazar-ou-lon-papote/61550765232648/";;;;;;non;;;Climatisation,Service en terrasse;14;1;6;;1;;;oui;;10;non;01/01/2026||31/12/2026||Uniquement le mercredi midi||||||||||||||||||||10:00||18:00||||||||||||||||||||||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||18,00||||;Cartes bancaires,Espèces;47.7656626, -0.3247408;Sarthe
Restaurant Le Belvédère;Restaurant;Pizzeria;;35 rue du Pot Gris;;44690;;;CHATEAU-THEBAUD;44037;47.125153;-1.4187725;;;02 40 31 68 57;;jamsy.meheust@gmail.com;;;;;;;;;;;;Banquet,Plats à emporter,Séminaire,Traiteur,WiFi;160;3;20;1;0;;Anglais,Espagnol,Français;oui;20;60;;;Jamsy||02 40 31 68 57||;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant,Virement;47.125153, -1.4187725;Loire-Atlantique
RESTAURANT LE BRÉEN;Restaurant;Cuisine traditionnelle;;11, Grande Rue;;53150;;;BREE;53043;48.1505511;-0.5200184;;;02 43 69 65 93;;le-breen@orange.fr;;;;;;;;;oui;;;Plats à emporter,Traiteur;38;1;;;;;Allemand,Français;oui;10;30;oui;;||02 43 69 65 93||lebreen@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;48.1505511, -0.5200184;Mayenne
Restaurant Le Buisson;Restaurant;Cuisine traditionnelle;;D309;;72430;;;NOYEN-SUR-SARTHE;72223;47.8635917;-0.103537;"Route (nationale/départ.)||D309||0 ; Autoroute||||10 ; Gare SNCF||||3";;02 43 92 52 05;;;;;;;;Guide des Relais Routiers,Le petit futé;;;oui;;;Banquet,Séminaire,Traiteur;120;1;35;1;0;;Anglais,Français;oui;25;200;oui;01/01/2026||31/12/2026||||Soirs et week-end - Réservation possible le week-end pour les groupes d'au moins 25 personnes||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||||||||||;||02 43 92 52 05||;;;Menu adulte du jour (midi en semaine)||15,00||||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.8635917, -0.103537;Sarthe
Restaurant Le Café de la Poste;Restaurant;Cuisine traditionnelle;;53 rue du Portail Louis;;49400;;;SAUMUR;49328;47.257807;-0.078782;Transport en commun||||;;09 73 26 40 70;;;;;"Facebook||https://www.facebook.com/cafedelapostesaumur/ ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g187199-d10472296-Reviews-Cafe_de_La_Poste_Saumur-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;;;;Plats à emporter,Service en terrasse;;;;;;;Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires;47.257807, -0.078782;Maine-et-Loire
Restaurant Le Camp des Girafes;Restaurant;Cuisine traditionnelle;;103 rue de Cholet;Doué-la-Fontaine;49700;;;DOUE-EN-ANJOU;49125;47.19056;-0.299442;;;02 41 59 18 58;;restauration@bioparc-zoo.fr;http://www.bioparc-zoo.fr;;"Tripadvisor||https://www.tripadvisor.fr/Attraction_Review-g608799-d2191https://www.tripadvisor.fr/Restaurant_Review-g608799-d12326529-Reviews-Le_Camp_Des_Girafes-Doue_la_Fontaine_Maine_et_Loire_Pays_de_la_Loire.html ; Google+||https://www.google.fr/maps/place/Le+Camp+Des+Girafes/@47.1905635,-0.3020168,17z/data=!4m8!3m7!1s0x4807ea416af00001:0x683389c7c146f640!8m2!3d47.1905599!4d-0.2994419!9m1!1b1!16s%2Fg%2F11j2yqmw66?entry=ttu";;;;;;non;;Valeurs Parc naturel régional;Chaise haute / Réhausseur,Service en terrasse,Table à langer;376;1;270;1;;;Anglais,Français;oui;;100;non;08/02/2025||04/01/2026||Le restaurant est ouvert aux mêmes dates et horaires que le parc animalier.||du 12/11/2025 au 19/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;||https://www.bioparc-zoo.fr/reservation-restaurant/||||||restauration@bioparc-zoo.fr;"Menu adulte du jour (midi en semaine)||||||Menu Voyageur, à partir de 14 ans ; Menu enfant||||||Menu Petit voyageur, de 7 à 13 ans ; Menu enfant||||||Menu ""Petit voyageur"" de 7 à 13 ans / Menu ""Tout petit voyageur"" jusqu'à 6 ans";Cartes bancaires,Chèques Vacances,Espèces;47.19056, -0.299442;Maine-et-Loire
Restaurant Le Castellane;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;;Rue du Comte de Castellane;Chênehutte-Trèves-Cunault;49350;;;GENNES-VAL-DE-LOIRE;49261;47.31018;-0.157044;Itinéraire de randonnée||||;;02 41 67 90 14;;prieure@younancollection.com;https://www.prieure.com;;"Facebook||https://www.facebook.com/chateauleprieure/ ; Instagram||https://www.instagram.com/chateauleprieure/";;;Gault Millau,Michelin;;;oui;;Qualité Tourisme;Chaise haute / Réhausseur,Service en terrasse,WiFi;100;2;30;;2;;Anglais,Français;;;90;;"14/01/2026||15/02/2026||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 11/03/2026||31/03/2026||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/04/2026||31/10/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;Menu adulte du jour (midi en semaine)||38,00||85,00||;;47.31018, -0.157044;Maine-et-Loire
RESTAURANT LE CLOS ST-THOMAS;Restaurant;Restaurant gastronomique - cuisine raffinée;;102, rue de la Mairie;;44240;;;SUCE-SUR-ERDRE;44201;47.340385;-1.5262204;Transport en commun||||0,15;;02 40 77 71 34;02 51 81 15 70;yvonnick.briand@wanadoo.fr;https://www.le-clos-saint-thomas.fr/;http://www.youtube.com/watch?v=8OsynKuJFaM;"Facebook||https://www.facebook.com/leclosstthomas/?fref=ts ; Tripadvisor||http://www.tripadvisor.fr/Restaurants-g1918934-Suce_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html";http://www.tripadvisor.fr/Restaurants-g1918934-Suce_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html;"<object style=""height: 390px; width: 640px""><param name=""movie"" value=""http://www.youtube.com/v/8OsynKuJFaM?version=3&feature=player_detailpage""><param name=""allowFullScreen"" value=""true""><param name=""allowScriptAccess"" value=""always""><embed src=""http://www.youtube.com/v/8OsynKuJFaM?version=3&feature=player_detailpage"" type=""application/x-shockwave-flash"" allowfullscreen=""true"" allowScriptAccess=""always"" width=""640"" height=""360""></object><span data-champcoderef="" "" id=""91aa2680-31ec-4342-9ac8-e0883d7f44d3"" type=""champSimple""><br /></span>";Le petit futé;;;;;Qualité Tourisme;Séminaire,Service en terrasse;90;3;60;;;;Anglais,Français;oui;;90;oui;;||02 40 77 71 34||;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.340385, -1.5262204;Loire-Atlantique
Restaurant Le Country Club du Golf d'Anjou;Restaurant;Cuisine traditionnelle;;Rue Normandie Niémen - Route de Cheffes;Champigné;49330;;;LES HAUTS-D'ANJOU;49080;47.6423051;-0.5536759;;;02 41 42 01 01;;restaurant@anjou-golf.com;https://www.anjou-golf.com/;;"Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g672995-d3393643-Reviews-Anjou_Golf_Country_Club-Champigne_Maine_et_Loire_Pays_de_la_Loire.html ; Google+||https://g.co/kgs/PYBjnyU ; Facebook||https://www.facebook.com/AnjouGolf/?locale=fr_FR";;;;;;;;;Séminaire,Service en terrasse,WiFi;90;2;90;3;0;;Anglais,Français;oui;20;90;oui;01/01/2026||31/12/2026||||||||||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||;||02 41 42 01 01||contact@anjou-golf.com;;;Menu adulte du jour (midi en semaine)||18,00||||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.6423051, -0.5536759;Maine-et-Loire
Restaurant le Don Quichotte;Restaurant;Cuisine traditionnelle;;35, route de Clisson;;44330;;;VALLET;44212;47.1584979;-1.2707505;;;02 40 33 99 67;02 40 33 99 72;donquichottevallet@wanadoo.fr;https://www.le-don-quichotte.fr/soiree-etape-vallet-clisson/;;;;;Guide du Routard Pays de la Loire,Le petit futé;;;oui;;;Plats à emporter,Séminaire,Service en terrasse,WiFi;60;2;25;1;1;;Anglais,Français;oui;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.1584979, -1.2707505;Loire-Atlantique
Restaurant Le Gulf Stream;Restaurant;Cuisine traditionnelle;;Face au 14 Boulevard René Dubois;BP 198;44500;;;LA BAULE-ESCOUBLAC;44055;47.28088;-2.38398;;07 77 99 33 13;02 40 24 48 07;;legulfstream@hotmail.fr;https://www.legulfstream.fr/;;;;;;;;oui;;;Service en terrasse;48;1;80;;;;Anglais;oui;;200;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant,Virement;47.28088, -2.38398;Loire-Atlantique
Restaurant Le Jardin de Varennes;Restaurant;Cuisine traditionnelle;;10 place du Jeu de Paume;;49730;;;VARENNES-SUR-LOIRE;49361;47.237627;0.05398;Transport en commun||||;;02 41 51 41 41;;;;;Facebook||https://www.facebook.com/jardin.varennes?fref=search&__tn__=%2Cd%2CP-R&eid=ARCdTXEqrtfRTCBaYP2eAYi7SVQnUbycOoLF_iQVZPtibFMS2OrI0lPGkrjMp-21RnT7eM8lF9jhvJtK;;;;;;oui;;;Plats à emporter;;;;;;;Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires;47.237627, 0.05398;Maine-et-Loire
Restaurant Le Lagon Bleu;Restaurant;Brasserie;;2 place de la Lune;;72300;;;PARCE-SUR-SARTHE;72228;47.8439285;-0.1998823;;;0243959209;;renouvincent17@gmail.com;;;;;;;;;oui;;;Banquet,Plats à emporter,Service en terrasse,Traiteur,WiFi;70;2;30;;;;Français,Italien;oui;;50;oui;01/01/2026||31/12/2026||Ouvert sur réservation tous les midis du week-end||Fermé tous les soirs, Fermé au mois d'août||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||;M. Renou||02 43 95 92 09||;;;Menu adulte du jour (midi en semaine)||15,90||||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.8439285, -0.1998823;Sarthe
Restaurant Le Lion d'Or;Restaurant;Cuisine traditionnelle;;20 place du Général de Gaulle;;53190;;;FOUGEROLLES-DU-PLESSIS;53100;48.4745963;-0.9720965;"Autoroute||||20 ; Gare SNCF||||15 ; Gare routière||||12";;02 43 05 53 76;;thierry.nolliere@orange.fr;;;Facebook||https://www.facebook.com/profile.php?id=100063491471450;;;;;;non;;;Banquet,Bon cadeau,Climatisation,Plats à emporter,Séminaire,Traiteur;130;1;20;;1;;Anglais,Français;oui;;70;oui;05/01/2026||24/12/2026||Du lundi au samedi midi||Congés de printemps du 01 au 10 mai 2026 et fermeture estivale du 4 au 24 août 2026||08:00||16:00||||||08:00||16:00||||||08:00||16:00||||||08:00||16:00||||||08:00||16:00||||||11:00||17:00||||||||||||;;;;Plats à la carte||17,50||||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;48.4745963, -0.9720965;Mayenne
Restaurant Le Longchamp;Restaurant;Cuisine traditionnelle;;8 rue Carnot;Candé;49440;;;CANDE;49054;47.5597988;-1.037868;;07 71 58 95 30;02 41 92 73 59;;brunoliaigre@orange.fr;;;Facebook||https://www.facebook.com/AuLongchamp/?locale=fr_FR;;;;;;oui;animaux éduqués;;Banquet,Chaise haute / Réhausseur,Plats à emporter,Séminaire,Service en terrasse,WiFi;52;2;15;1;0;;Anglais,Français;oui;10;15;oui;01/01/2026||31/12/2026||||Fermé pour congés du 15 août au 5 septembre.||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||||||||;"Monsieur et Madame Liaigre Bruno et Manuella||02 41 92 73 59|| ; Monsieur et Madame Liaigre Bruno et Manuella||07 71 58 95 30||";;;Menu adulte du jour (midi en semaine)||14,90||17,90||;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant,Virement;47.5597988, -1.037868;Maine-et-Loire
Restaurant Le Mail Bar  Brasserie;Restaurant;Brasserie;;13 place du mail;;49730;;;MONTSOREAU;49219;47.216574;0.057204;Itinéraire de randonnée||||;;02 41 51 73 29;;chouchou.pet@wanadoo.fr;;;"Facebook||https://www.facebook.com/Le-Mail-Cafe-Brasserie-195814524355251/ ; Google+||https://maps.google.com/?cid=12335255493340337542 ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g675426-d7226888-Reviews-Le_Mail_Bar_Brasserie-Montsoreau_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;oui;;;Chaise haute / Réhausseur,Service en terrasse;40;1;30;;;;Anglais,Français;;;40;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Tickets Restaurant;47.216574, 0.057204;Maine-et-Loire
Restaurant Le Malily;Restaurant;Cuisine traditionnelle;;rue Verden;;49400;;;SAUMUR;49328;47.26;-0.064638;;;07.49.78.50.67;;iledoffard@flowercampings.com;https://www.saumur-camping.com;;Facebook||https://www.facebook.com/FlowerCampingLiledOffard/;;;;;;;;;Service en terrasse;;;;;;;Français;;;;;01/04/2026||01/11/2026||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;47.26, -0.064638;Maine-et-Loire
Restaurant Le Montaudin;Restaurant;Cuisine traditionnelle;;3 rue d'Ernée;;53220;;;MONTAUDIN;53154;48.385295;-0.98946;;;02 43 05 30 47;;;;;Instagram||https://www.instagram.com/lemontaudin/;;;;;;;;;Livraison à domicile,Plats à emporter,Traiteur,WiFi;40;2;;;;;Français;oui;10;40;oui;01/01/2026||31/12/2026||||||07:00||19:30||||||07:00||19:30||||||07:00||13:45||||||07:00||19:30||||||07:00||20:00||||||08:00||13:00||16:00||22:00||08:00||12:30||||;;;;"Menu adulte du jour (midi en semaine)||15,50||17,00|| ; Plats à la carte||12,50||17,00||Burgers le samedi soir";Cartes bancaires,Chèques bancaires et postaux,Espèces;48.385295, -0.98946;Mayenne
Restaurant Le P'tit Fait-Tout;Restaurant;Cuisine traditionnelle;;6, rue du Pont - ZA Le Pont;;72300;;;SABLE-SUR-SARTHE;72264;47.8208753;-0.288913;"Route (nationale/départ.)||Route Sablé /La Flèche||0,2 ; Autoroute||Louailles||8 ; Gare SNCF||Sablé||2 ; Transport en commun||||2 ; Halte fluviale||||2";;02 43 92 29 58;;petitfaittout@yahoo.fr;;;Facebook||https://fr-fr.facebook.com/pages/Le-Ptit-Fait-Tout/168913476510858;;;;;;non;;;Banquet,Plats à emporter,Service en terrasse,Traiteur,WiFi;120;3;200;;;;Anglais,Français;oui;20;70;oui;"01/01/2026||31/07/2026||||Fermés les soirs et week-end||11:30||14:00||||||11:30||14:00||||||11:30||14:00||||||11:30||14:00||||||11:30||14:00|||||||||||||||||||| ; 19/08/2026||31/12/2026||||Fermés les soirs et week-end||11:30||14:00||||||11:30||14:00||||||11:30||14:00||||||11:30||14:00||||||11:30||14:00||||||||||||||||||||";Monsieur DAVID||02 43 92 29 58||petitfaittout@yahoo.fr;;;Menu adulte du jour (midi en semaine)||12,00||16,20||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.8208753, -0.288913;Sarthe
Restaurant Le Preti;Restaurant;Restaurant gastronomique - cuisine raffinée;Le Domaine des Lys;Lieu-dit Château de Guère;;44150;;;ANCENIS-SAINT-GEREON;44003;47.3898534;-1.2134063;"Autoroute||Ancenis Sud A11 Sortie 20||4 ; Gare SNCF||Gare d'Ancenis||4,2";;02 40 09 06 66;;pretireservations@gmail.com;;;"Facebook||https://www.facebook.com/profile.php?id=61553812799737 ; Instagram||https://www.instagram.com/lepreti44150?igsh=bWMzeXNuY2I0anZj ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1051955-d12610445-Reviews-Le_Preti-Ancenis_Loire_Atlantique_Pays_de_la_Loire.html";;;;;;oui;;;Banquet,Climatisation,Séminaire,Service en terrasse,Traiteur;100;2;50;;2;;Anglais,Français;oui;;;oui;||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||||||||||||||||;Le Preti||02 40 09 06 66||pretireservations@gmail.com;;;Menu adulte soir et week-end||||||Menu Preti;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.3898534, -1.2134063;Loire-Atlantique
RESTAURANT LE SAINT LAURENT;Restaurant;Cuisine traditionnelle;;Le Mont Jarry;;44390;;;PETIT-MARS;44122;47.4012227;-1.4435202;;;02 40 72 72 00;;resto@le-st-laurent.fr;https://www.restaurant-saintlaurent.fr;;"Facebook||https://www.facebook.com/people/Le-saint-Laurent/100057589714223/  ; Instagram||https://www.instagram.com/restaurant_le_saint_laurent44/?hl=fr";;;;;;;;;Banquet,Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;410;3;80;;;;Français;oui;;230;oui;;M Marion||02 40 72 72 00||lesaintlaurent44@orange.fr;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.4012227, -1.4435202;Loire-Atlantique
RESTAURANT LE TY BISTROT;Restaurant;Brasserie;;5 Rue des Myosotis - Route de Sucé;;44390;;;CASSON;44027;47.3794255;-1.5589274;;;02 40 77 64 86;;;;;"Facebook||https://www.facebook.com/Le-Tri-Kaouenn-711476329025257 ; Instagram||https://www.instagram.com/explore/locations/711476329025257/le-tri-kaouenn/";;;;;;oui;;;;60;1;;;;;Français;;;60;oui;;Tri kaouenn||02 40 77 64 86||;;;;Cartes bancaires,Chèques bancaires et postaux;47.3794255, -1.5589274;Loire-Atlantique
Restaurant Le Wok Rainbow;Restaurant;Cuisine du Monde;;Carré de Bournan;;49400;;;SAUMUR;49328;47.238316;-0.100967;;;02 41 59 48 68;;;;;Facebook||https://fr-fr.facebook.com/Wok-Rainbow-Saumur-Bagneux-343644832458808/;;;;;;non;;;Chaise haute / Réhausseur,Climatisation,Plats à emporter;230;;;;;;Anglais,Chinois,Français;;;;;||||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Cartes bancaires,Tickets Restaurant;47.238316, -0.100967;Maine-et-Loire
